section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
2115,8044,Performing arts,History > Eastern performing arts > Cambodia,Cambodia,4,10.571483,1.3872335,97.40626023627428,8.82876905378876,2,0.7458646616541353,0.11165413533834587,32.63213747624659,9.548489322175408,3,0.4830827067669173,0.11240601503759398
2116,8044,Performing arts,History > Eastern performing arts > Philippines,Philippines,4,10.072775,1.3677549,35.925571298267016,11.914726120716086,2,0.387593984962406,0.15037593984962405,48.653245634307915,15.21074493629422,3,0.643609022556391,0.22593984962406016
2117,8044,Performing arts,History > Eastern performing arts > Japan,Japan,4,10.541259,1.1753955,64.49177678226974,13.760438173177176,2,0.5793233082706767,0.17481203007518797,31.021239066494697,19.442432840453062,3,0.45977443609022556,0.31165413533834585
2118,8044,Performing arts,History > Americas,Americas,3,6.7895575,0.8556215,106.78984328145623,11.339000418795468,2,0.7823308270676692,0.1443609022556391,13.303857025681209,8.848895022080509,3,0.23834586466165414,0.10037593984962406
2119,8044,Performing arts,History > Americas > Colonial Era,Colonial Era,4,6.7099833,0.7087663,257.08662324702095,59.90512822879381,2,0.9755639097744361,0.6567669172932331,69.2838512643523,17.18653073857734,3,0.7845864661654135,0.2669172932330827
2120,8044,Performing arts,History > Oceania,Oceania,3,5.994148,0.8015608,164.8487753991052,71.89226533390051,2,0.9139097744360902,0.7296992481203007,105.70027156148869,122.65706339805108,3,0.9045112781954887,0.9650375939849624
2121,8127,Post-classical history,Introduction,Introduction,0,7.836345,0.7942699,-4.812874474489469,30.30570291763279,2,0.1582706766917293,0.38571428571428573,-8.60752264113117,15.556581000630244,3,0.0755639097744361,0.23421052631578948
2122,8127,Post-classical history,Historiography > Terminology and periodization,Terminology and periodization,3,7.9055753,0.85134655,-34.88546090473808,15.366316190122568,2,0.07781954887218046,0.1988721804511278,-4.625597035135616,7.15277624025473,3,0.09473684210526316,0.07368421052631578
2123,8127,Post-classical history,Historiography > Approaches,Approaches,3,7.96107,0.8040135,28.368996483952316,9.045788942292939,2,0.3368421052631579,0.11466165413533834,9.100825623124097,3.8815626979716367,3,0.19586466165413532,0.02481203007518797
2124,8127,Post-classical history,Global trends,Global trends,2,7.716915,0.8211177,87.86485473980701,99.09607472617742,2,0.7026315789473684,0.8462406015037593,68.55683103126115,29.647608510379083,3,0.7785714285714286,0.47593984962406016
